Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
Samira,Marksman,ADC,S,60.86,-0.31,51.34%,97.84%,9.18%,20.33%,2.33
Sejuani,Tank,JUNGLE,S,58.13,2.79,51.00%,61.83%,5.02%,1.78%,3.44
Sejuani,Tank,TOP,S,55.23,0.57,51.95%,34.94%,2.78%,1.78%,2.56
Senna,Marksman,SUPPORT,S,55.61,0.25,49.44%,92.73%,6.87%,2.88%,2.55
Seraphine,Mage,SUPPORT,A,49.81,-3.27,49.66%,61.59%,4.81%,2.24%,2.51
Seraphine,Mage,ADC,B,46.05,-0.5,53.24%,26.74%,1.71%,2.24%,2.91
Seraphine,Mage,MID,B,44.59,-0.39,50.76%,11.29%,0.86%,2.24%,2.77
Sett,Fighter,TOP,God,67.93,-1.4,50.17%,74.38%,9.57%,7.26%,1.71
Sett,Fighter,MID,B,47.31,-4.4,52.47%,15.42%,1.73%,7.26%,2.02
Shaco,Assassin,JUNGLE,S,56.71,0.29,49.75%,81.37%,5.51%,14.40%,2.77
Shaco,Assassin,SUPPORT,C,38.39,1.46,49.64%,13.21%,0.94%,15.34%,2.35
Shen,Tank,TOP,S,64.33,3.2,52.16%,86.98%,4.87%,1.04%,3.07
Shyvana,Fighter,JUNGLE,A,49.1,-0.05,53.00%,80.70%,2.02%,0.53%,2.86
Shyvana,Fighter,TOP,B,44.45,-6.82,51.04%,15.01%,0.37%,0.55%,2.16
Singed,Tank,MID,A,48.07,-3.73,53.31%,19.11%,0.52%,0.79%,2.69
Singed,Tank,TOP,A,47.75,-7,50.85%,69.52%,1.95%,0.79%,2.03
Sion,Tank,TOP,B,46.03,-5.35,48.33%,80.86%,3.91%,0.74%,1.62
Sivir,Marksman,ADC,B,46.62,-0.87,49.27%,98.49%,6.84%,3.18%,2.45
Skarner,Fighter,JUNGLE,B,43.54,5.68,52.22%,76.01%,0.76%,0.16%,2.92
Skarner,Fighter,TOP,C,41.65,-2.48,49.35%,19.52%,0.18%,0.15%,2.33
Sona,Support,SUPPORT,A,52.31,-3.04,51.73%,97.06%,3.84%,0.38%,2.86
Soraka,Support,SUPPORT,S,61.74,-4.9,50.95%,95.86%,7.53%,3.73%,2.8
Swain,Mage,MID,A,52.48,0.87,52.21%,38.52%,2.47%,3.43%,2.68
Swain,Mage,SUPPORT,B,47.22,-1.75,50.70%,44.30%,3.39%,3.43%,2.35
Swain,Mage,ADC,C,42.24,-2.36,52.71%,11.46%,0.61%,3.43%,2.9
Sylas,Mage,MID,God,90.77,8.23,49.72%,89.46%,14.51%,12.49%,2.17
Syndra,Mage,MID,God,81.92,-7.49,51.26%,92.12%,11.28%,10.48%,2.32
Tahm Kench,Support,TOP,A,49.29,-0.9,51.06%,54.07%,1.47%,0.78%,2.47
Tahm Kench,Support,SUPPORT,D,33.88,4.81,47.93%,36.06%,0.79%,0.78%,2.29
Taliyah,Mage,MID,B,44.82,0.99,50.92%,45.71%,1.52%,1.09%,2.34
Taliyah,Mage,JUNGLE,C,38.94,4.2,49.47%,45.08%,1.50%,1.09%,2.7
Talon,Assassin,MID,B,45.52,1.44,50.09%,51.16%,2.46%,1.61%,2.19
Talon,Assassin,JUNGLE,C,38.26,5.35,48.69%,46.38%,2.18%,1.61%,2.47
Taric,Support,SUPPORT,A,51.86,3.76,54.19%,87.85%,2.02%,0.43%,2.85
Teemo,Marksman,TOP,A,50.82,-2.42,49.36%,75.06%,4.09%,6.82%,1.82
Thresh,Support,SUPPORT,S,64.77,-6.36,49.05%,98.13%,10.21%,2.42%,2.64
Tristana,Marksman,ADC,S,60.26,1.54,52.36%,86.99%,9.53%,4.38%,2.45
Tristana,Marksman,MID,B,44.29,0,51.72%,10.50%,1.09%,4.38%,2.19
Trundle,Fighter,JUNGLE,B,43.12,-4.64,49.53%,74.94%,2.68%,2.33%,2.71
Trundle,Fighter,TOP,C,42,1.1,50.81%,20.74%,0.72%,2.33%,1.63
Tryndamere,Fighter,MID,B,43.77,-6.22,53.01%,10.76%,0.32%,3.11%,2.1
Tryndamere,Fighter,TOP,B,43.28,-4.89,48.18%,82.48%,2.62%,3.07%,1.78
Twisted Fate,Mage,MID,C,38.6,-1.9,47.24%,90.00%,1.99%,0.11%,2.26
Twitch,Marksman,ADC,A,51.82,-0.18,51.44%,75.35%,6.70%,8.02%,2.43
Udyr,Fighter,JUNGLE,S,63.89,-9.65,52.41%,78.25%,5.75%,17.86%,2.8
Udyr,Fighter,TOP,C,40.89,0.87,48.46%,19.54%,1.39%,17.86%,1.76
Urgot,Fighter,TOP,S,55.72,3.51,53.43%,92.04%,3.10%,1.27%,1.99
Varus,Marksman,ADC,B,44.41,-0.6,49.57%,75.18%,5.95%,1.28%,2.38
Varus,Marksman,MID,D,37.04,-0.37,47.18%,22.24%,1.85%,1.28%,2.06
Vayne,Marksman,ADC,B,43.53,-1.48,49.42%,72.37%,6.07%,8.59%,2.07
Vayne,Marksman,TOP,C,40.47,-4.36,48.47%,24.52%,1.87%,8.59%,1.51
Veigar,Mage,MID,A,52.91,3.66,50.68%,74.16%,4.10%,2.75%,2.3
Veigar,Mage,ADC,D,35.48,-0.65,51.00%,15.03%,0.65%,2.75%,2.43
Vel'Koz,Mage,MID,B,45.39,-0.7,51.32%,32.94%,0.97%,0.53%,2.65
Vel'Koz,Mage,SUPPORT,B,42.66,0.11,50.94%,61.77%,1.89%,0.53%,2.26
Vex,Mage,MID,S,63.49,-0.01,51.57%,92.80%,6.06%,8.74%,2.49
Vi,Fighter,JUNGLE,A,48.7,0.57,50.37%,94.81%,4.20%,0.95%,2.5
Viego,Assassin,JUNGLE,S,64.59,-4.04,48.58%,94.46%,9.87%,4.21%,2.46
Viktor,Mage,MID,God,68.94,1.96,51.38%,95.99%,8.17%,5.77%,2.32
Vladimir,Mage,MID,A,54.03,-1.86,50.17%,78.23%,4.35%,7.93%,2.4
Vladimir,Mage,TOP,B,43.09,3.96,49.57%,19.88%,1.08%,7.93%,2.02
Volibear,Fighter,JUNGLE,A,48.88,-1.95,51.82%,54.97%,2.70%,1.83%,2.85
Volibear,Fighter,TOP,B,44.79,-3.64,49.73%,41.98%,2.18%,1.83%,1.76
Warwick,Fighter,JUNGLE,B,47.66,-3.69,49.94%,64.33%,4.28%,4.32%,2.26
Warwick,Fighter,TOP,C,42.31,-6.19,49.17%,33.44%,1.52%,4.32%,1.82
Wukong,Fighter,TOP,A,48.13,0.76,51.57%,36.02%,1.22%,1.07%,2.21
Wukong,Fighter,JUNGLE,B,43.93,12.27,51.02%,58.57%,1.91%,1.07%,2.76
Xayah,Marksman,ADC,C,40.41,1.27,49.50%,98.13%,4.27%,0.39%,2.41
Xerath,Mage,SUPPORT,A,53.51,3.05,53.78%,55.45%,2.95%,2.39%,2.76
Xerath,Mage,MID,A,51.74,0.35,51.18%,39.99%,1.91%,2.39%,3.31
Xin Zhao,Fighter,JUNGLE,D,33.53,-1.59,47.87%,87.81%,1.69%,0.25%,2.24
Yasuo,Fighter,MID,God,73.26,2.14,49.13%,69.28%,9.79%,19.09%,1.74
Yasuo,Fighter,TOP,B,45.43,1.65,50.00%,16.33%,2.15%,19.09%,1.55
Yasuo,Fighter,ADC,D,35.02,0.42,50.57%,13.26%,1.56%,19.09%,2.05
Yone,Assassin,MID,God,70.58,1.08,50.52%,60.56%,8.99%,13.05%,1.92
Yone,Assassin,TOP,A,53.15,3.19,49.15%,36.74%,5.17%,13.05%,1.62
Yorick,Fighter,TOP,B,46.83,-2.4,50.20%,92.16%,2.78%,2.99%,1.64
Yuumi,Support,SUPPORT,God,91.31,0.59,47.13%,98.62%,11.54%,36.71%,4.1
Zac,Tank,JUNGLE,S,57.64,0.23,51.67%,77.90%,4.27%,3.61%,3.49
Zac,Tank,TOP,A,51.02,0.93,52.71%,10.33%,0.51%,3.61%,2.68
Zed,Assassin,MID,God,85.21,3.04,51.16%,75.12%,8.65%,36.28%,2.33
Zed,Assassin,JUNGLE,B,44.99,6.43,49.63%,20.61%,2.15%,36.28%,2.62
Zeri,Marksman,ADC,D,16.34,-6.64,42.53%,88.87%,1.57%,0.63%,2.03
Ziggs,Mage,MID,B,47.56,3.99,51.15%,56.17%,1.99%,0.29%,2.49
Ziggs,Mage,ADC,C,40,5.27,52.17%,34.86%,1.08%,0.29%,2.58
Zilean,Support,SUPPORT,A,50.32,-0.8,51.21%,79.40%,3.06%,2.19%,3.1
Zilean,Support,MID,A,49.99,3.29,52.12%,16.14%,0.60%,2.19%,3.46
Zoe,Mage,MID,A,48.64,-3.17,49.58%,87.40%,3.06%,1.65%,2.6
Zoe,Mage,SUPPORT,D,27.02,-0.45,45.57%,10.99%,0.35%,1.63%,2.05
Zyra,Mage,SUPPORT,A,48.28,-1.73,51.15%,92.64%,3.71%,2.36%,2.22
Aatrox,Fighter,TOP,God,91,0.57,49.42%,94.32%,12.13%,31.55%,1.85
Ahri,Mage,MID,S,61.97,7.76,50.28%,94.59%,6.77%,2.49%,2.56
Akali,Assassin,MID,God,74.9,0.29,48.38%,78.50%,10.25%,17.63%,2.37
Akali,Assassin,TOP,B,43.63,-1.39,46.88%,20.81%,2.77%,17.63%,2.07
Akshan,Marksman,MID,B,47.3,-2.26,51.08%,64.24%,2.35%,4.52%,2.21
Akshan,Marksman,TOP,B,41.11,-0.84,49.54%,27.08%,0.95%,4.52%,1.94
Alistar,Tank,SUPPORT,C,40.95,-1.38,48.84%,95.58%,2.67%,0.63%,2.38
Amumu,Tank,SUPPORT,A,49.86,-5.58,51.09%,63.21%,4.25%,6.18%,2.08
Amumu,Tank,JUNGLE,A,49.82,3.07,53.00%,35.76%,2.85%,6.18%,2.68
Anivia,Mage,MID,A,51.38,0.47,52.30%,80.24%,2.21%,2.01%,2.66
Anivia,Mage,SUPPORT,D,27.59,-4.01,46.22%,14.88%,0.35%,2.01%,2.2
Annie,Mage,MID,C,40.51,-1.9,49.29%,77.56%,1.33%,0.48%,2.27
Annie,Mage,SUPPORT,D,18.51,2.35,42.69%,17.44%,0.29%,0.54%,1.85
Aphelios,Marksman,ADC,D,32.2,-8.18,45.35%,97.61%,6.56%,1.09%,1.93
Ashe,Marksman,ADC,A,51.73,-1.71,50.31%,64.72%,8.19%,2.64%,2.41
Ashe,Marksman,SUPPORT,B,46.97,1.68,49.43%,32.65%,4.13%,2.64%,2.4
Aurelion Sol,Mage,MID,C,39.6,-6.22,49.57%,87.08%,0.56%,0.29%,2.46
Azir,Mage,MID,C,40.25,-2.05,44.19%,93.81%,4.69%,1.37%,2.01
Bard,Support,SUPPORT,B,45.09,-1.92,48.87%,96.61%,3.24%,0.56%,2.9
Bel'Veth,Fighter,JUNGLE,God,70.12,-4.11,52.70%,93.46%,6.65%,29.33%,2.48
Blitzcrank,Tank,SUPPORT,God,69.52,-11.01,50.96%,84.63%,7.70%,26.55%,2.42
Blitzcrank,Tank,JUNGLE,D,25.08,-17.68,43.25%,13.52%,1.35%,26.55%,2.25
Brand,Mage,SUPPORT,B,46.56,-0.6,51.24%,75.01%,3.43%,4.46%,1.87
Brand,Mage,MID,C,39.75,7.84,50.32%,15.43%,0.76%,4.85%,2.06
Braum,Support,SUPPORT,C,39.01,-1.88,48.55%,98.53%,1.98%,0.29%,2.56
Caitlyn,Marksman,ADC,God,88.6,12.24,49.84%,97.99%,19.19%,17.20%,2.28
Camille,Fighter,TOP,S,61.4,1.12,51.25%,95.01%,6.32%,2.94%,2.02
Cassiopeia,Mage,MID,B,43.63,-2.7,50.51%,77.43%,1.85%,1.58%,2.08
Cassiopeia,Mage,TOP,C,40.92,-1.27,51.00%,12.87%,0.32%,1.59%,1.76
Cho'Gath,Tank,TOP,B,45.96,-1.13,50.58%,65.43%,1.69%,0.68%,2.05
Cho'Gath,Tank,MID,C,39.78,-3.63,50.24%,18.98%,0.38%,0.68%,2.36
Corki,Marksman,MID,D,36.24,4.83,47.47%,91.04%,1.18%,0.18%,2.22
Darius,Fighter,TOP,God,76.73,0.44,50.40%,94.14%,9.09%,27.64%,1.85
Diana,Fighter,JUNGLE,S,56.67,-1.51,51.12%,76.82%,6.07%,4.72%,2.49
Diana,Fighter,MID,B,45.27,-2.26,51.41%,21.26%,1.64%,4.72%,2.16
Dr. Mundo,Marksman,TOP,A,49.54,-0.72,51.21%,83.70%,2.25%,1.39%,2.16
Draven,Fighter,ADC,A,53.11,-0.44,50.72%,95.30%,6.71%,25.64%,2.14
Ekko,Assassin,JUNGLE,S,60.89,-1.21,50.81%,68.71%,6.82%,6.00%,2.84
Ekko,Assassin,MID,A,50.26,-0.96,51.32%,29.59%,2.80%,6.00%,2.37
Elise,Mage,JUNGLE,A,48.23,-1.17,51.23%,94.93%,3.20%,2.35%,2.87
Evelynn,Assassin,JUNGLE,A,52.46,-4.05,50.54%,98.48%,4.33%,6.71%,3.05
Ezreal,Marksman,ADC,S,68.14,1.1,48.85%,95.77%,15.40%,2.73%,2.45
Fiddlesticks,Mage,JUNGLE,A,52.59,-2.89,52.19%,87.75%,3.88%,6.10%,2.8
Fiora,Fighter,TOP,S,68.86,0.36,50.76%,97.95%,7.89%,18.53%,1.75
Fizz,Assassin,MID,A,52.59,2.03,51.37%,95.10%,3.37%,4.39%,2.45
Galio,Tank,MID,A,52.67,-0.32,51.97%,82.49%,2.76%,0.45%,2.72
Galio,Tank,SUPPORT,D,35.78,3.51,49.81%,14.49%,0.44%,0.44%,2.31
Gangplank,Fighter,TOP,A,52.65,0.45,49.15%,84.74%,4.77%,4.03%,2.02
Gangplank,Fighter,MID,B,42.77,-2.26,51.25%,14.19%,0.81%,4.03%,2.28
Garen,Fighter,TOP,S,57.23,-0.03,50.44%,85.76%,5.47%,2.48%,2.04
Gnar,Fighter,TOP,B,44.54,2.5,48.59%,96.98%,2.81%,0.55%,1.92
Gragas,Fighter,TOP,C,39.67,-4.52,46.28%,55.29%,2.44%,0.51%,2.06
Gragas,Fighter,MID,C,38.81,-0.86,49.23%,14.20%,0.62%,0.50%,2.4
Gragas,Fighter,JUNGLE,D,35.29,0.82,48.72%,19.93%,0.88%,0.51%,2.87
Gragas,Fighter,SUPPORT,D,28.64,0,46.66%,10.70%,0.39%,0.51%,2.21
Graves,Marksman,JUNGLE,God,89.45,-4.4,50.30%,93.74%,12.65%,18.07%,2.67
Gwen,Fighter,TOP,A,48,1.98,50.80%,86.70%,2.75%,0.83%,1.79
Hecarim,Fighter,JUNGLE,God,74.97,9.21,49.93%,99.13%,9.36%,19.38%,2.71
Heimerdinger,Mage,SUPPORT,A,51.17,8.25,52.34%,58.48%,3.83%,6.54%,2.07
Heimerdinger,Mage,MID,B,47.29,-1.92,52.94%,22.96%,1.50%,6.54%,2.05
Heimerdinger,Mage,TOP,B,42.94,-1.75,51.56%,11.40%,0.72%,6.18%,1.69
Illaoi,Fighter,TOP,A,51.13,2.99,52.19%,92.44%,3.31%,5.82%,1.46
Irelia,Fighter,TOP,A,52.14,-0.54,49.92%,54.25%,4.43%,12.32%,1.64
Irelia,Fighter,MID,A,50.05,-0.01,50.69%,44.13%,3.70%,12.32%,1.81
Ivern,Support,JUNGLE,C,36.74,-1.52,48.37%,75.04%,0.78%,0.40%,3.36
Ivern,Support,SUPPORT,D,21.47,-2.59,43.26%,11.99%,0.12%,0.42%,2.37
Janna,Support,SUPPORT,S,61.92,1.88,52.58%,98.09%,5.57%,2.26%,3.27
Jarvan IV,Tank,JUNGLE,A,48.83,-0.77,50.91%,90.68%,3.15%,0.36%,3.19
Jax,Fighter,TOP,S,60.4,2.34,51.44%,85.13%,6.14%,7.41%,1.73
Jax,Fighter,JUNGLE,D,33.59,4.12,49.35%,13.28%,1.00%,7.00%,2.18
Jayce,Fighter,MID,A,48.5,6.93,54.78%,15.99%,0.44%,0.34%,2.31
Jayce,Fighter,TOP,B,43.65,0.12,49.22%,81.74%,2.32%,0.34%,1.81
Jhin,Marksman,ADC,God,75.01,7.67,51.58%,97.27%,14.05%,2.96%,3.03
Jinx,Marksman,ADC,A,51.87,-1.48,50.80%,98.51%,8.24%,0.77%,2.31
K'Sante,Fighter,TOP,God,80.26,0,45.33%,85.07%,14.48%,16.08%,1.8
Kai'Sa,Marksman,ADC,God,93.54,-0.74,50.33%,96.38%,22.41%,6.91%,2.49
Kalista,Marksman,ADC,D,32.9,-1.3,48.18%,93.71%,3.55%,1.58%,2.23
Karma,Mage,SUPPORT,S,58.25,5.09,48.78%,85.48%,7.75%,1.64%,2.72
Karthus,Mage,MID,C,40.65,6.21,50.93%,10.88%,0.41%,3.07%,2.24
Karthus,Mage,JUNGLE,C,39.66,-0.56,49.16%,61.95%,2.28%,3.07%,2.57
Karthus,Mage,ADC,C,36.96,-2.26,52.96%,19.69%,0.87%,3.07%,2.24
Kassadin,Assassin,MID,A,52.54,0.22,50.99%,96.92%,3.36%,7.16%,2.51
Katarina,Assassin,MID,S,63.92,-2.96,49.90%,95.54%,7.28%,10.18%,2.37
Kayle,Fighter,TOP,B,43.26,-0.35,49.15%,80.81%,2.33%,0.74%,1.76
Kayle,Fighter,MID,D,32.64,-5.92,47.32%,14.61%,0.37%,0.74%,2.08
Kayn,Fighter,JUNGLE,God,70.69,0.69,50.53%,97.57%,9.54%,12.34%,2.47
Kennen,Mage,TOP,C,41.03,-0.2,48.78%,78.04%,1.37%,0.53%,1.99
Kennen,Mage,MID,C,40.9,-1.36,50.76%,16.68%,0.29%,0.46%,2.43
Kha'Zix,Assassin,JUNGLE,A,52.49,0.58,50.51%,98.61%,5.14%,2.56%,2.64
Kindred,Marksman,JUNGLE,S,56.45,5.38,49.66%,95.43%,6.86%,7.43%,2.24
Kled,Fighter,TOP,A,48.79,-1.44,51.14%,87.24%,1.71%,0.75%,2.34
Kog'Maw,Marksman,ADC,D,35.03,-5.35,51.26%,87.91%,1.83%,0.47%,2.18
LeBlanc,Assassin,MID,A,48.85,-0.79,48.12%,93.08%,3.57%,4.99%,2.8
Lee Sin,Fighter,JUNGLE,S,63.37,0.49,47.65%,94.84%,9.52%,4.33%,2.72
Leona,Tank,SUPPORT,A,53.79,0.14,50.78%,98.76%,5.31%,4.88%,2.37
Lillia,Fighter,JUNGLE,A,48.52,1.3,51.21%,80.61%,3.40%,1.76%,2.82
Lillia,Fighter,TOP,B,43.9,0.35,50.74%,16.42%,0.76%,1.86%,2.12
Lissandra,Mage,MID,B,43.53,0.62,49.13%,92.13%,2.20%,0.63%,2.36
Lucian,Marksman,ADC,S,62.94,8.61,50.49%,93.92%,12.05%,4.81%,2.35
Lulu,Support,SUPPORT,God,71.38,1.53,49.73%,97.24%,9.66%,11.91%,3.03
Lux,Mage,SUPPORT,God,75.55,8.85,50.89%,70.54%,11.22%,7.22%,2.51
Lux,Mage,MID,S,56.13,1.17,50.18%,26.96%,4.31%,7.22%,2.84
Malphite,Tank,TOP,A,51.05,-1.85,50.34%,66.34%,2.75%,2.00%,2.44
Malphite,Tank,MID,C,39.73,-2.51,49.59%,14.12%,0.62%,1.97%,2.44
Malphite,Tank,SUPPORT,D,30.84,-0.79,47.00%,15.83%,0.53%,2.00%,2.44
Malzahar,Mage,MID,S,57.25,9.26,51.22%,91.61%,5.12%,4.00%,2.3
Maokai,Tank,SUPPORT,B,46.95,-2.18,51.74%,46.63%,2.70%,1.96%,2.33
Maokai,Tank,TOP,B,46.65,-3.14,50.67%,22.35%,1.42%,1.96%,2.27
Maokai,Tank,JUNGLE,B,44.27,-6.6,51.28%,30.09%,1.78%,1.96%,3.06
Master Yi,Assassin,JUNGLE,S,66.15,-0.74,51.51%,93.37%,7.16%,20.49%,2.16
Miss Fortune,Marksman,ADC,S,68.77,-11.41,50.84%,88.56%,13.32%,7.67%,2.31
Mordekaiser,Fighter,TOP,S,68.87,1.54,52.75%,79.85%,7.23%,10.99%,1.91
Mordekaiser,Fighter,JUNGLE,C,39.89,-1.38,51.52%,13.37%,1.19%,10.99%,2.4
Morgana,Mage,SUPPORT,God,71.44,4.65,51.32%,89.41%,7.51%,26.15%,2.56
Nami,Support,SUPPORT,God,85.97,11.58,52.62%,99.58%,13.04%,3.42%,3.27
Nasus,Fighter,TOP,S,60.91,-2.57,52.38%,79.85%,5.15%,6.29%,2.06
Nasus,Fighter,MID,B,45.75,1.37,53.06%,10.27%,0.42%,6.29%,2.42
Nautilus,Tank,SUPPORT,S,59.61,-1.64,49.86%,98.13%,7.52%,8.62%,2.3
Neeko,Mage,MID,B,42.99,-2.48,49.89%,55.75%,1.70%,0.53%,2.29
Neeko,Mage,TOP,C,40.26,-3.64,50.11%,10.35%,0.25%,0.57%,1.98
Neeko,Mage,SUPPORT,C,38.71,-0.56,51.21%,26.14%,0.74%,0.53%,2.11
Nidalee,Assassin,JUNGLE,B,41.74,-5.29,47.46%,89.80%,3.42%,2.60%,2.83
Nilah,Marksman,ADC,B,44.84,1.5,53.43%,95.16%,3.09%,6.22%,2.31
Nocturne,Assassin,JUNGLE,B,45.14,-3.29,49.48%,93.61%,3.68%,1.87%,2.59
Nunu,Tank,JUNGLE,B,44.61,-1.66,49.54%,89.55%,3.06%,0.98%,2.92
Olaf,Fighter,TOP,A,52.07,1.41,52.91%,71.67%,2.55%,1.97%,1.86
Olaf,Fighter,JUNGLE,C,39.66,7.22,52.11%,25.63%,0.87%,1.97%,2.46
Orianna,Mage,MID,B,45.74,-1.18,49.88%,91.72%,1.92%,0.16%,2.68
Ornn,Tank,TOP,S,60.52,-1.68,50.68%,93.22%,5.91%,1.03%,2.34
Pantheon,Fighter,MID,A,48.92,1.71,53.31%,21.42%,1.20%,1.36%,2.46
Pantheon,Fighter,TOP,C,39.75,-5.04,48.23%,22.07%,1.16%,1.28%,2.06
Pantheon,Fighter,JUNGLE,C,36.59,-0.22,49.39%,24.78%,1.36%,1.28%,2.54
Pantheon,Fighter,SUPPORT,D,33.75,1.01,47.65%,31.22%,1.75%,1.28%,1.95
Poppy,Tank,TOP,B,46.36,2.44,51.45%,33.74%,1.09%,0.99%,2.14
Poppy,Tank,JUNGLE,C,40.14,2.16,49.89%,56.65%,1.92%,0.99%,2.68
Pyke,Support,SUPPORT,God,74.34,8.52,49.68%,92.40%,10.84%,17.67%,2.28
Qiyana,Assassin,MID,B,43.34,0.15,49.50%,70.70%,2.31%,1.54%,2.11
Qiyana,Assassin,JUNGLE,C,37.62,5.37,50.88%,24.72%,0.83%,1.54%,2.54
Quinn,Marksman,TOP,B,45.34,-3.45,51.47%,79.67%,1.22%,0.64%,1.89
Rakan,Support,SUPPORT,A,49.75,1.15,50.88%,97.86%,3.47%,0.23%,2.86
Rammus,Tank,JUNGLE,A,55.22,-4.75,52.61%,91.47%,3.75%,8.15%,3.18
Rek'Sai,Fighter,JUNGLE,B,42.88,0.41,50.78%,97.13%,2.30%,2.37%,2.59
Rell,Tank,SUPPORT,B,46.3,-1.26,52.19%,98.19%,1.97%,0.39%,2.51
Renata Glasc,Support,SUPPORT,S,61.44,6.39,50.98%,99.03%,7.08%,4.13%,2.74
Renekton,Fighter,TOP,A,48.89,-1.75,48.24%,86.15%,4.68%,3.04%,1.76
Renekton,Fighter,MID,B,42.46,0.45,52.02%,12.55%,0.67%,3.04%,2.03
Rengar,Assassin,JUNGLE,B,44.82,-0.76,49.80%,78.90%,3.60%,6.14%,2.34
Rengar,Assassin,TOP,B,44.5,3.44,51.35%,18.44%,0.84%,6.14%,1.95
Riven,Fighter,TOP,A,50.33,0.03,49.71%,90.29%,3.91%,1.35%,1.95
Rumble,Fighter,MID,A,50.42,1.31,53.76%,37.35%,1.03%,0.62%,2.69
Rumble,Fighter,TOP,B,41.1,-0.81,48.72%,50.76%,1.16%,0.62%,2.13
Ryze,Mage,MID,C,38.53,0.67,45.40%,85.15%,3.21%,0.20%,2.17
Ryze,Mage,TOP,C,37.39,3.04,48.81%,12.48%,0.47%,0.20%,1.82
Samira,Marksman,ADC,S,61.99,1.13,51.13%,97.92%,9.39%,20.55%,2.3
Sejuani,Tank,JUNGLE,S,57.75,-0.38,51.79%,57.06%,4.81%,2.02%,3.44
Sejuani,Tank,TOP,S,56.16,0.93,52.04%,39.56%,3.25%,2.02%,2.48
Senna,Marksman,SUPPORT,A,54.4,-1.21,49.90%,93.37%,5.96%,2.55%,2.56
Seraphine,Mage,SUPPORT,A,52.21,2.39,50.98%,63.19%,4.62%,1.98%,2.52
Seraphine,Mage,ADC,B,44.94,-1.11,53.57%,26.18%,1.59%,1.98%,2.91
Seraphine,Mage,MID,C,40.08,-4.51,48.76%,10.29%,0.73%,1.98%,2.74
Sett,Fighter,TOP,S,63.23,-4.69,50.31%,79.42%,7.83%,5.68%,1.73
Sett,Fighter,MID,B,45.26,-2.06,53.13%,10.29%,0.83%,5.68%,2.04
Shaco,Assassin,JUNGLE,A,54.3,-2.41,49.43%,82.27%,5.26%,14.12%,2.74
Shaco,Assassin,SUPPORT,D,36.26,-2.13,49.15%,12.99%,0.86%,15.03%,2.32
Shen,Tank,TOP,S,63.84,-0.49,51.99%,85.70%,4.83%,1.01%,3
Shyvana,Fighter,JUNGLE,A,47.77,-1.32,53.29%,83.17%,2.07%,0.63%,2.81
Shyvana,Fighter,TOP,B,43.11,-1.34,51.11%,12.97%,0.33%,0.67%,2.09
Singed,Tank,TOP,A,52.17,4.42,53.18%,71.81%,1.90%,0.74%,2.13
Singed,Tank,MID,A,49.69,1.62,53.89%,17.97%,0.50%,0.74%,2.83
Sion,Tank,TOP,B,46.6,0.56,49.86%,79.55%,3.41%,0.70%,1.54
Sivir,Marksman,ADC,B,42.16,-4.46,49.61%,98.44%,5.27%,2.00%,2.42
Skarner,Fighter,JUNGLE,A,52.03,8.48,56.99%,79.03%,0.83%,0.16%,3.1
Skarner,Fighter,TOP,C,38.71,-2.94,48.63%,17.43%,0.15%,0.16%,2.26
Sona,Support,SUPPORT,A,52.83,0.52,52.15%,97.58%,3.46%,0.26%,2.97
Soraka,Support,SUPPORT,S,60.69,-1.05,50.81%,95.78%,6.96%,3.67%,2.78
Swain,Mage,MID,A,53.45,0.97,53.32%,36.24%,2.21%,3.34%,2.66
Swain,Mage,ADC,B,42.85,0.61,53.68%,11.90%,0.59%,3.34%,2.96
Swain,Mage,SUPPORT,B,42.64,-4.58,48.83%,46.62%,3.22%,3.34%,2.31
Sylas,Mage,MID,God,89.57,-1.2,49.36%,89.94%,14.57%,12.95%,2.16
Syndra,Mage,MID,God,81.26,-0.67,51.68%,91.99%,10.73%,11.95%,2.38
Tahm Kench,Support,TOP,A,47.42,-1.86,50.79%,55.08%,1.34%,0.68%,2.41
Tahm Kench,Support,SUPPORT,D,34.97,1.09,48.82%,35.97%,0.71%,0.64%,2.4
Taliyah,Mage,MID,B,44.6,-0.23,51.04%,45.26%,1.51%,1.05%,2.28
Taliyah,Mage,JUNGLE,C,36.63,-2.31,48.87%,45.46%,1.61%,1.05%,2.58
Talon,Assassin,MID,B,46.23,0.71,50.46%,49.65%,2.46%,1.69%,2.21
Talon,Assassin,JUNGLE,D,35.26,-3,47.54%,47.90%,2.17%,1.69%,2.42
Taric,Support,SUPPORT,B,46.26,-5.6,51.95%,88.40%,1.84%,0.41%,2.7
Teemo,Marksman,TOP,A,53.16,2.34,50.84%,75.63%,4.06%,6.82%,1.79
Thresh,Support,SUPPORT,S,63.7,-1.06,49.28%,98.14%,9.23%,2.29%,2.65
Tristana,Marksman,ADC,S,58.94,-1.31,52.32%,87.63%,8.87%,4.73%,2.42
Trundle,Fighter,JUNGLE,B,44.76,1.64,51.26%,75.46%,2.38%,1.99%,2.75
Trundle,Fighter,TOP,D,35.69,-6.3,48.09%,21.76%,0.74%,2.02%,1.64
Tryndamere,Fighter,TOP,A,47.48,4.2,50.75%,80.49%,2.44%,2.94%,1.85
Tryndamere,Fighter,MID,C,39.58,-4.19,50.69%,12.49%,0.35%,2.94%,2.17
