Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
Shaco,Assassin,JUNGLE,A,55.62,-0.86,49.11%,82.48%,5.42%,12.67%,2.85
Shaco,Assassin,SUPPORT,C,36.56,-3.9,49.21%,12.88%,0.92%,13.43%,2.42
Shen,Tank,TOP,S,64.98,-0.89,51.69%,88.07%,4.60%,1.12%,2.93
Shyvana,Fighter,JUNGLE,A,52.78,4.18,53.01%,55.56%,3.34%,2.62%,2.98
Shyvana,Fighter,TOP,A,51.15,3.02,51.81%,42.28%,2.44%,2.62%,2.26
Singed,Tank,MID,B,43.89,0.19,52.15%,11.87%,0.21%,0.28%,2.49
Singed,Tank,TOP,C,39.83,-1.38,50.12%,73.92%,1.34%,0.33%,1.88
Sion,Tank,TOP,B,44.31,3.09,49.02%,80.67%,3.26%,0.50%,1.58
Sivir,Marksman,ADC,God,97.42,16.34,53.33%,98.26%,16.98%,16.07%,2.65
Skarner,Fighter,JUNGLE,C,38.12,-0.62,50.96%,78.06%,1.05%,0.23%,2.96
Skarner,Fighter,TOP,D,34.84,3.82,49.42%,19.16%,0.25%,0.21%,2.11
Sona,Support,SUPPORT,A,54.25,-7.07,51.52%,97.13%,4.91%,0.45%,2.93
Soraka,Support,SUPPORT,A,56.37,-3.85,50.51%,94.32%,6.34%,3.28%,2.76
Swain,Mage,MID,A,54.06,-1.77,52.33%,34.73%,2.79%,5.38%,2.61
Swain,Mage,SUPPORT,A,48.12,-0.46,50.58%,47.71%,3.97%,5.38%,2.36
Swain,Mage,ADC,C,40.2,-0.87,53.83%,10.66%,0.73%,5.78%,2.82
Sylas,Mage,MID,God,82.06,6.85,50.92%,84.39%,11.65%,8.96%,2.19
Sylas,Mage,TOP,C,40.87,2.22,50.06%,10.82%,1.43%,8.96%,1.9
Syndra,Mage,MID,B,44.5,1.27,48.01%,83.76%,3.18%,0.67%,2.27
Tahm Kench,Support,TOP,B,46.38,0.34,50.38%,51.06%,1.82%,1.52%,2.45
Tahm Kench,Support,ADC,D,34.21,-10.03,51.44%,14.24%,0.39%,1.52%,2.9
Tahm Kench,Support,SUPPORT,D,34.03,-2.26,48.11%,31.95%,0.95%,1.52%,2.38
Taliyah,Mage,MID,S,56.99,1.73,51.12%,51.82%,4.48%,8.11%,2.27
Taliyah,Mage,JUNGLE,B,46.23,-2.32,49.90%,40.47%,3.41%,8.11%,2.7
